Date,Month,Day,Year,Week,AM Feed,PM Feed,AM Transparency,PM Transparency,Spring Temp (F),Dec Rain,Calmar Rain,Year class,Strain,Lot,Raceway,# fish
2/22/2022,2,22,2022,9,N,N,17.87,15.64,43.9,0.05,0.03,2021,Shasta,STA4,A4,10385
2/22/2022,2,22,2022,9,N,N,17.87,15.64,43.9,0.05,0.03,2021,Shasta,STA4,A5,10595
2/22/2022,2,22,2022,9,N,N,17.87,15.64,43.9,0.05,0.03,2021,Shasta,STA6,A6,7806
2/22/2022,2,22,2022,9,N,N,17.87,15.64,43.9,0.05,0.03,2021,Arlee,ARA7,A7,9101
2/22/2022,2,22,2022,9,N,N,17.87,15.64,43.9,0.05,0.03,2021,Irwin X Arlee,IAC2,A8,9857
2/22/2022,2,22,2022,9,N,N,17.87,15.64,43.9,0.05,0.03,2021,Irwin X Arlee,IAC2,B1,"7,995"
2/22/2022,2,22,2022,9,N,N,17.87,15.64,43.9,0.05,0.03,2021,Irwin X Arlee,IAC2,B2,8132
2/22/2022,2,22,2022,9,N,N,17.87,15.64,43.9,0.05,0.03,2021,Arlee,ARA2,B3,9685
2/22/2022,2,22,2022,9,N,N,17.87,15.64,43.9,0.05,0.03,2021,Shasta,STA3,B4,9250
2/22/2022,2,22,2022,9,N,N,17.87,15.64,43.9,0.05,0.03,2021,Shasta,STA4,B5,10309
2/22/2022,2,22,2022,9,N,N,17.87,15.64,43.9,0.05,0.03,2021,Shasta,STB6,B6,7994
2/22/2022,2,22,2022,9,N,N,17.87,15.64,43.9,0.05,0.03,2021,Shasta,STA6,B7,8410
2/22/2022,2,22,2022,9,N,N,17.87,15.64,43.9,0.05,0.03,2021,Arlee,ARA7,B8,9120
2/22/2022,2,22,2022,9,N,N,17.87,15.64,43.9,0.05,0.03,2021,Irwin X Arlee,IAC2,C2,8238
2/22/2022,2,22,2022,9,N,N,17.87,15.64,43.9,0.05,0.03,2021,Arlee,ARA2,C3,9156
2/22/2022,2,22,2022,9,N,N,17.87,15.64,43.9,0.05,0.03,2021,Irwin X Arlee,IAC4,C4,10266
2/22/2022,2,22,2022,9,N,N,17.87,15.64,43.9,0.05,0.03,2021,Irwin X Arlee,IAC4,C5,10608
2/22/2022,2,22,2022,9,N,N,17.87,15.64,43.9,0.05,0.03,2021,Mix,Mix,C8,5883
2/22/2022,2,22,2022,9,N,N,17.87,15.64,43.9,0.05,0.03,VAR,VAR,Broods,P1,220
3/18/2019,3,18,2019,12,N,N,20.4,16.4,44.1,0.0,0.0,2018,Ennis,ENA1,A1,9304
3/18/2019,3,18,2019,12,N,N,20.4,16.4,44.1,0.0,0.0,2018,Hot Creek,HCA2,A2,10196
3/18/2019,3,18,2019,12,N,N,20.4,16.4,44.1,0.0,0.0,2018,Shasta,STA3,A3,8885
3/18/2019,3,18,2019,12,N,N,20.4,16.4,44.1,0.0,0.0,2018,Hot Creek,HCA4,A4,9576
3/18/2019,3,18,2019,12,N,N,20.4,16.4,44.1,0.0,0.0,2018,Eagle Lake,ELA5,A5,8103
3/18/2019,3,18,2019,12,N,N,20.4,16.4,44.1,0.0,0.0,2018,Hot Creek,HCA6,A6,9268
3/18/2019,3,18,2019,12,N,N,20.4,16.4,44.1,0.0,0.0,2018,Ennis,ENA7,A7,10598
3/18/2019,3,18,2019,12,N,N,20.4,16.4,44.1,0.0,0.0,2018,Shasta,STA8,A8,8930
3/18/2019,3,18,2019,12,N,N,20.4,16.4,44.1,0.0,0.0,2018,Hot Creek,HCB1,B1,9343
3/18/2019,3,18,2019,12,N,N,20.4,16.4,44.1,0.0,0.0,2018,Hot Creek,HCB2,B2,9523
3/18/2019,3,18,2019,12,N,N,20.4,16.4,44.1,0.0,0.0,2018,Hot Creek,HCB3,B3,9169
3/18/2019,3,18,2019,12,N,N,20.4,16.4,44.1,0.0,0.0,2018,Shasta,STB4,B4,10143
3/18/2019,3,18,2019,12,N,N,20.4,16.4,44.1,0.0,0.0,2018,Hot Creek,HCB5,B5,9429
3/18/2019,3,18,2019,12,N,N,20.4,16.4,44.1,0.0,0.0,2018,Ennis,ENB6,B6,8085
3/18/2019,3,18,2019,12,N,N,20.4,16.4,44.1,0.0,0.0,2018,Ennis,ENB7,B7,7753
3/18/2019,3,18,2019,12,N,N,20.4,16.4,44.1,0.0,0.0,2018,VAR,BroodsB8,B8,800
3/18/2019,3,18,2019,12,N,N,20.4,16.4,44.1,0.0,0.0,2018,Hot Creek,HCC2,C2,10818
3/18/2019,3,18,2019,12,N,N,20.4,16.4,44.1,0.0,0.0,2018,Ennis,ENC3,C3,8013
3/18/2019,3,18,2019,12,N,N,20.4,16.4,44.1,0.0,0.0,2018,Shasta,STC5,C5,9524
3/18/2019,3,18,2019,12,N,N,20.4,16.4,44.1,0.0,0.0,2018,Ennis,ENC6,C6,8524
3/18/2019,3,18,2019,12,N,N,20.4,16.4,44.1,0.0,0.0,2018,Ennis,ENC7,C7,7661
3/18/2019,3,18,2019,12,N,N,20.4,16.4,44.1,0.0,0.0,2018,Brook,Brook,P1,15107
3/18/2019,3,18,2019,12,N,N,20.4,16.4,44.1,0.0,0.0,2018,Brook,Brook,P2,15496
6/7/2022,6,7,2022,24,Y,N,24.46,16.88,52.5,0.01,0.11,2021,Arlee,ARA2,A2,10023
6/7/2022,6,7,2022,24,Y,N,24.46,16.88,52.5,0.01,0.11,2021,Shasta,STA3,A3,10010
6/7/2022,6,7,2022,24,Y,N,24.46,16.88,52.5,0.01,0.11,2021,Shasta,STA4,A4,10385
6/7/2022,6,7,2022,24,Y,N,24.46,16.88,52.5,0.01,0.11,2021,Shasta,STA4,A5,10595
6/7/2022,6,7,2022,24,Y,N,24.46,16.88,52.5,0.01,0.11,2021,Shasta,STA6,A6,7806
6/7/2022,6,7,2022,24,Y,N,24.46,16.88,52.5,0.01,0.11,2021,Irwin X Arlee,IAC2,B1,"7,995"
6/7/2022,6,7,2022,24,Y,N,24.46,16.88,52.5,0.01,0.11,2021,Arlee,ARA2,B3,9685
6/7/2022,6,7,2022,24,Y,N,24.46,16.88,52.5,0.01,0.11,2021,Shasta,STA3,B4,9250
6/7/2022,6,7,2022,24,Y,N,24.46,16.88,52.5,0.01,0.11,2021,Shasta,STA4,B5,10309
6/7/2022,6,7,2022,24,Y,N,24.46,16.88,52.5,0.01,0.11,2021,Shasta,STB6,B6,7994
6/7/2022,6,7,2022,24,Y,N,24.46,16.88,52.5,0.01,0.11,2021,Shasta,STA6,B7,8410
6/7/2022,6,7,2022,24,Y,N,24.46,16.88,52.5,0.01,0.11,2021,Arlee,ARA7,B8,9120
6/7/2022,6,7,2022,24,Y,N,24.46,16.88,52.5,0.01,0.11,2021,Arlee,ARA2,C3,9156
6/7/2022,6,7,2022,24,Y,N,24.46,16.88,52.5,0.01,0.11,2021,Irwin X Arlee,IAC4,C4,10266
6/7/2022,6,7,2022,24,Y,N,24.46,16.88,52.5,0.01,0.11,2021,Irwin X Arlee,IAC4,C5,10608
6/7/2022,6,7,2022,24,Y,N,24.46,16.88,52.5,0.01,0.11,2021,Mix,Mix,C8,5883
6/7/2022,6,7,2022,24,Y,N,24.46,16.88,52.5,0.01,0.11,2022,Irwin X Arlee,IAA8,A8,35575
6/7/2022,6,7,2022,24,Y,N,24.46,16.88,52.5,0.01,0.11,2022,Irwin X Arlee,IAC6,C6,38102
6/7/2022,6,7,2022,24,Y,N,24.46,16.88,52.5,0.01,0.11,VAR,VAR,Broods,P1,220
11/12/2021,11,12,2021,46,N,N,25.7,17.4,49.6,0.08,0.1,2021,Irwin X Arlee,IAC2,A1,9933
11/12/2021,11,12,2021,46,N,N,25.7,17.4,49.6,0.08,0.1,2021,Arlee,ARA2,A2,10023
11/12/2021,11,12,2021,46,N,N,25.7,17.4,49.6,0.08,0.1,2021,Shasta,STA3,A3,20927
11/12/2021,11,12,2021,46,N,N,25.7,17.4,49.6,0.08,0.1,2021,Shasta,STA4,A4,10385
11/12/2021,11,12,2021,46,N,N,25.7,17.4,49.6,0.08,0.1,2021,Shasta,STA4,A5,10595
11/12/2021,11,12,2021,46,N,N,25.7,17.4,49.6,0.08,0.1,2021,Shasta,STA6,A6,"15,088"
11/12/2021,11,12,2021,46,N,N,25.7,17.4,49.6,0.08,0.1,2021,Arlee,ARA7,A7,9101
11/12/2021,11,12,2021,46,N,N,25.7,17.4,49.6,0.08,0.1,2021,Irwin X Arlee,IAC2,A8,9857
11/12/2021,11,12,2021,46,N,N,25.7,17.4,49.6,0.08,0.1,2021,Irwin X Arlee,IAC2,B2,11119
11/12/2021,11,12,2021,46,N,N,25.7,17.4,49.6,0.08,0.1,2021,Arlee,ARA2,B3,9685
11/12/2021,11,12,2021,46,N,N,25.7,17.4,49.6,0.08,0.1,2021,Shasta,STA4,B5,10309
11/12/2021,11,12,2021,46,N,N,25.7,17.4,49.6,0.08,0.1,2021,Arlee,ARA7,B8,9120
11/12/2021,11,12,2021,46,N,N,25.7,17.4,49.6,0.08,0.1,2021,Irwin X Arlee,IAC2,C2,10586
11/12/2021,11,12,2021,46,N,N,25.7,17.4,49.6,0.08,0.1,2021,Arlee,ARA2,C3,9156
11/12/2021,11,12,2021,46,N,N,25.7,17.4,49.6,0.08,0.1,2021,Irwin X Arlee,IAC4,C4,10266
11/12/2021,11,12,2021,46,N,N,25.7,17.4,49.6,0.08,0.1,2021,Irwin X Arlee,IAC4,C5,10608
