Date,Juilin Date,Month,Day,Year,row,Week,AM Feed,AM Transparency,PM Feed,PM Transparency,Stocked,Spring Temp (F),Max Spring (F),Min Spring (F),Daily turbi mean,Max daily turbi,Max air temp,Min air temp,Dec Rain,Calmar Rain,Year class,Strain,Lot,Sub Lot,Raceway,# fish,Morts,Sub Lot % morts,Lot % mort,Strain % mort,Comments
12/16/2022,44911,12,16,2022,715,51,X,16.60,X,13.14,,46.3,46.6,46.2,15.1,23.0,31,21,0.06,0.07,2022,Shasta,STB1,STB1&B5B1,B1,8343,,0.0%,0.0%,0.0%,
12/16/2022,44911,12,16,2022,715,51,X,16.60,X,13.14,,46.3,46.6,46.2,15.1,23.0,31,21,0.06,0.07,2022,Shasta,STB2,STB2B2B2,B2,9165,,0.0%,0.0%,0.0%,
12/16/2022,44911,12,16,2022,715,51,X,16.60,X,13.14,,46.3,46.6,46.2,15.1,23.0,31,21,0.06,0.07,2022,Arlee,ARA2,ARA2B3,B3,7973,,0.0%,0.0%,0.0%,
12/16/2022,44911,12,16,2022,715,51,X,16.60,X,13.14,,46.3,46.6,46.2,15.1,23.0,31,21,0.06,0.07,2022,Shasta,STA4,STA4B4,B4,9469,,0.0%,0.0%,0.0%,
12/16/2022,44911,12,16,2022,715,51,X,16.60,X,13.14,,46.3,46.6,46.2,15.1,23.0,31,21,0.06,0.07,2022,Shasta,STB2,STB2B5B5,B5,8829,,0.0%,0.0%,0.0%,
12/16/2022,44911,12,16,2022,715,51,X,16.60,X,13.14,,46.3,46.6,46.2,15.1,23.0,31,21,0.06,0.07,2022,Shasta,STBB6,STBB6,B6,10631,,0.0%,0.0%,0.0%,
12/16/2022,44911,12,16,2022,715,51,X,16.60,X,13.14,,46.3,46.6,46.2,15.1,23.0,31,21,0.06,0.07,2022,Shasta,STBB7,STBB7,B7,10271,,0.0%,0.0%,0.0%,
12/16/2022,44911,12,16,2022,715,51,X,16.60,X,13.14,,46.3,46.6,46.2,15.1,23.0,31,21,0.06,0.07,2022,Shasta,STBMB8,STBMB8,B8,10397,,0.0%,0.0%,0.0%,
12/16/2022,44911,12,16,2022,715,51,X,16.60,X,13.14,,46.3,46.6,46.2,15.1,23.0,31,21,0.06,0.07,2022,Irwin X Arlee,IAA8,IAA8C2C2,C2,6274,,0.0%,0.0%,0.0%,
12/16/2022,44911,12,16,2022,715,51,X,16.60,X,13.14,,46.3,46.6,46.2,15.1,23.0,31,21,0.06,0.07,2022,Shasta,STB2,STB2B2C3,C3,9042,,0.0%,0.0%,0.0%,
12/16/2022,44911,12,16,2022,715,51,X,16.60,X,13.14,,46.3,46.6,46.2,15.1,23.0,31,21,0.06,0.07,2022,Irwin X Arlee,IAC6,IAC6C4C4,C4,5947,,0.0%,0.0%,0.0%,
